Jahr,Note,Bundesland,Anzahl
2007,3.3,RP,729
2007,3.4,RP,536
2007,3.5,RP,525
2007,3.6,RP,319
2007,3.7,RP,138
2007,3.8,RP,36
2007,3.9,RP,5
2007,4,RP,19
2007,1,SH,49
2007,1.1,SH,31
2007,1.2,SH,52
2007,1.3,SH,90
2007,1.4,SH,114
2007,1.5,SH,155
2007,1.6,SH,174
2007,1.7,SH,212
2007,1.8,SH,225
2007,1.9,SH,259
2007,2,SH,326
2007,2.1,SH,366
2007,2.2,SH,390
2007,2.3,SH,444
2007,2.4,SH,461
2007,2.5,SH,493
2007,2.6,SH,543
2007,2.7,SH,613
2007,2.8,SH,600
2007,2.9,SH,560
2007,3,SH,557
2007,3.1,SH,587
2007,3.2,SH,542
2007,3.3,SH,471
2007,3.4,SH,331
2007,3.5,SH,316
2007,3.6,SH,167
2007,3.7,SH,81
2007,3.8,SH,20
2007,3.9,SH,0
2007,4,SH,1
2007,1,SL,44
2007,1.1,SL,34
2007,1.2,SL,27
2007,1.3,SL,34
2007,1.4,SL,53
2007,1.5,SL,63
2007,1.6,SL,63
2007,1.7,SL,71
2007,1.8,SL,101
2007,1.9,SL,88
2007,2,SL,105
2007,2.1,SL,135
2007,2.2,SL,142
2007,2.3,SL,145
2007,2.4,SL,163
2007,2.5,SL,175
2007,2.6,SL,163
2007,2.7,SL,174
2007,2.8,SL,185
2007,2.9,SL,149
2007,3,SL,190
2007,3.1,SL,166
2007,3.2,SL,174
2007,3.3,SL,116
2007,3.4,SL,87
2007,3.5,SL,71
2007,3.6,SL,28
2007,3.7,SL,14
2007,3.8,SL,1
2007,3.9,SL,0
2007,4,SL,0
2007,1,SN,138
2007,1.1,SN,121
2007,1.2,SN,155
2007,1.3,SN,209
2007,1.4,SN,287
2007,1.5,SN,340
2007,1.6,SN,433
2007,1.7,SN,504
2007,1.8,SN,567
2007,1.9,SN,609
2007,2,SN,686
2007,2.1,SN,779
2007,2.2,SN,848
2007,2.3,SN,891
2007,2.4,SN,867
2007,2.5,SN,954
2007,2.6,SN,1007
2007,2.7,SN,979
2007,2.8,SN,963
2007,2.9,SN,976
2007,3,SN,864
2007,3.1,SN,803
2007,3.2,SN,731
2007,3.3,SN,582
2007,3.4,SN,390
2007,3.5,SN,177
2007,3.6,SN,67
2007,3.7,SN,21
2007,3.8,SN,2
2007,3.9,SN,0
2007,4,SN,0
2007,1,ST,137
2007,1.1,ST,94
2007,1.2,ST,172
2007,1.3,ST,231
2007,1.4,ST,300
2007,1.5,ST,308
2007,1.6,ST,392
2007,1.7,ST,475
2007,1.8,ST,555
2007,1.9,ST,557
2007,2,ST,634
2007,2.1,ST,696
2007,2.2,ST,705
2007,2.3,ST,824
2007,2.4,ST,823
2007,2.5,ST,832
2007,2.6,ST,920
2007,2.7,ST,856
2007,2.8,ST,940
2007,2.9,ST,833
2007,3,ST,817
2007,3.1,ST,750
2007,3.2,ST,676
2007,3.3,ST,550
2007,3.4,ST,404
2007,3.5,ST,240
2007,3.6,ST,113
2007,3.7,ST,35
2007,3.8,ST,3
2007,3.9,ST,0
2007,4,ST,0
2007,1,TH,125
2007,1.1,TH,128
2007,1.2,TH,159
2007,1.3,TH,211
2007,1.4,TH,239
2007,1.5,TH,306
2007,1.6,TH,346
2007,1.7,TH,396
2007,1.8,TH,411
2007,1.9,TH,435
2007,2,TH,428
2007,2.1,TH,497
2007,2.2,TH,497
2007,2.3,TH,522
2007,2.4,TH,530
2007,2.5,TH,575
2007,2.6,TH,536
2007,2.7,TH,532
2007,2.8,TH,520
2007,2.9,TH,443
2007,3,TH,404
2007,3.1,TH,371
2007,3.2,TH,314
2007,3.3,TH,243
2007,3.4,TH,177
2007,3.5,TH,116
2007,3.6,TH,52
2007,3.7,TH,20
2007,3.8,TH,0
2007,3.9,TH,0
2007,4,TH,0
2008,1,BB,124
2008,1.1,BB,107
2008,1.2,BB,180
2008,1.3,BB,215
2008,1.4,BB,213
2008,1.5,BB,329
2008,1.6,BB,367
2008,1.7,BB,436
2008,1.8,BB,497
2008,1.9,BB,490
2008,2,BB,488
2008,2.1,BB,528
2008,2.2,BB,614
2008,2.3,BB,625
2008,2.4,BB,608
2008,2.5,BB,643
2008,2.6,BB,656
2008,2.7,BB,697
2008,2.8,BB,683
2008,2.9,BB,644
2008,3,BB,618
2008,3.1,BB,579
2008,3.2,BB,516
2008,3.3,BB,434
2008,3.4,BB,277
2008,3.5,BB,171
2008,3.6,BB,89
2008,3.7,BB,19
2008,3.8,BB,1
2008,3.9,BB,0
2008,4,BB,0
2008,1,BE,89
2008,1.1,BE,85
2008,1.2,BE,94
2008,1.3,BE,147
2008,1.4,BE,189
2008,1.5,BE,286
2008,1.6,BE,297
2008,1.7,BE,340
2008,1.8,BE,416
2008,1.9,BE,486
2008,2,BE,483
2008,2.1,BE,605
2008,2.2,BE,704
2008,2.3,BE,735
2008,2.4,BE,698
2008,2.5,BE,837
2008,2.6,BE,917
2008,2.7,BE,882
2008,2.8,BE,890
